source_asset_id,target_asset_id,connection_type,relationship_strength
SITE-01-BLDG-01-AST-000,UNKNOWN-ASSET-999,Supplies,0.62
SITE-01-BLDG-01-AST-005,SITE-01-BLDG-01-AST-003,Supplies,0.55
SITE-01-BLDG-01-AST-005,SITE-01-BLDG-01-AST-004,Supplies,0.95
SITE-01-BLDG-01-AST-013,SITE-01-BLDG-01-AST-006,Supplies,0.95
SITE-01-BLDG-01-AST-005,SITE-01-BLDG-01-AST-007,Supplies,0.82
SITE-01-BLDG-01-AST-000,SITE-01-BLDG-01-AST-008,Supplies,0.67
SITE-01-BLDG-01-AST-010,SITE-01-BLDG-01-AST-009,Supplies,0.67
SITE-01-BLDG-01-AST-013,SITE-01-BLDG-01-AST-011,Supplies,0.86
SITE-01-BLDG-01-AST-000,SITE-01-BLDG-01-AST-012,Controls,0.95
SITE-01-BLDG-02-AST-008,SITE-01-BLDG-02-AST-000,Supplies,0.94
SITE-01-BLDG-02-AST-001,SITE-01-BLDG-02-AST-004,Supplies,0.89
SITE-01-BLDG-02-AST-007,SITE-01-BLDG-02-AST-005,Controls,0.82
SITE-02-BLDG-01-AST-004,SITE-02-BLDG-01-AST-000,Controls,0.54
SITE-02-BLDG-01-AST-004,SITE-02-BLDG-01-AST-001,Supplies,0.58
SITE-02-BLDG-01-AST-006,SITE-02-BLDG-01-AST-002,Supplies,0.95
SITE-02-BLDG-01-AST-006,SITE-02-BLDG-01-AST-003,Controls,0.8
SITE-02-BLDG-01-AST-006,SITE-02-BLDG-01-AST-007,Supplies,0.5
SITE-02-BLDG-01-AST-005,SITE-02-BLDG-01-AST-008,Controls,0.55
SITE-02-BLDG-01-AST-006,SITE-02-BLDG-01-AST-009,Controls,0.83
SITE-02-BLDG-02-AST-003,SITE-02-BLDG-02-AST-000,Supplies,0.5
SITE-02-BLDG-02-AST-009,SITE-02-BLDG-02-AST-001,Supplies,0.58
SITE-02-BLDG-02-AST-009,SITE-02-BLDG-02-AST-002,Supplies,0.77
SITE-02-BLDG-02-AST-003,SITE-02-BLDG-02-AST-004,Controls,0.85
SITE-02-BLDG-02-AST-009,SITE-02-BLDG-02-AST-005,Controls,0.83
SITE-02-BLDG-02-AST-003,SITE-02-BLDG-02-AST-006,Controls,0.61
SITE-02-BLDG-02-AST-010,SITE-02-BLDG-02-AST-007,Controls,0.86
SITE-02-BLDG-02-AST-010,SITE-02-BLDG-02-AST-008,Controls,0.62
SITE-03-BLDG-01-AST-002,SITE-03-BLDG-01-AST-001,Supplies,0.66
SITE-03-BLDG-01-AST-000,SITE-03-BLDG-01-AST-003,Supplies,0.87
SITE-03-BLDG-01-AST-002,SITE-03-BLDG-01-AST-005,Supplies,0.82
SITE-03-BLDG-02-AST-008,SITE-03-BLDG-02-AST-000,Controls,0.92
SITE-03-BLDG-02-AST-004,SITE-03-BLDG-02-AST-001,Controls,0.83
SITE-03-BLDG-02-AST-004,SITE-03-BLDG-02-AST-002,Supplies,0.78
SITE-03-BLDG-02-AST-004,SITE-03-BLDG-02-AST-003,Supplies,0.55
SITE-03-BLDG-02-AST-004,SITE-03-BLDG-02-AST-005,Supplies,0.68
SITE-03-BLDG-02-AST-008,SITE-03-BLDG-02-AST-006,Supplies,0.63
SITE-03-BLDG-02-AST-004,SITE-03-BLDG-02-AST-007,Controls,0.62
SITE-01-BLDG-01-AST-003,SITE-01-BLDG-01-AST-001,Monitors,0.78
SITE-01-BLDG-01-AST-004,SITE-01-BLDG-01-AST-001,Monitors,0.44
SITE-01-BLDG-01-AST-007,SITE-01-BLDG-01-AST-013,Monitors,0.74
SITE-01-BLDG-01-AST-009,SITE-01-BLDG-01-AST-000,Monitors,0.58
SITE-01-BLDG-02-AST-000,SITE-01-BLDG-02-AST-001,Monitors,0.68
SITE-02-BLDG-01-AST-008,SITE-02-BLDG-01-AST-005,Monitors,0.5
SITE-02-BLDG-01-AST-009,SITE-02-BLDG-01-AST-005,Monitors,0.55
SITE-02-BLDG-02-AST-001,SITE-02-BLDG-02-AST-002,Monitors,0.5
SITE-02-BLDG-02-AST-006,SITE-02-BLDG-02-AST-009,Monitors,0.32
SITE-02-BLDG-02-AST-007,SITE-02-BLDG-02-AST-010,Monitors,0.63
SITE-03-BLDG-01-AST-001,SITE-03-BLDG-01-AST-002,Monitors,0.37
SITE-03-BLDG-01-AST-003,SITE-03-BLDG-01-AST-000,Monitors,0.21
SITE-03-BLDG-01-AST-005,SITE-03-BLDG-01-AST-007,Monitors,0.59
SITE-03-BLDG-02-AST-000,SITE-03-BLDG-02-AST-006,Monitors,0.31
SITE-03-BLDG-02-AST-001,SITE-03-BLDG-02-AST-008,Monitors,0.76
SITE-03-BLDG-02-AST-003,SITE-03-BLDG-02-AST-004,Monitors,0.77
SITE-03-BLDG-02-AST-005,SITE-03-BLDG-02-AST-002,Monitors,0.75
SITE-02-BLDG-02-AST-003,SITE-02-BLDG-02-AST-000,Supplies,0.5
SITE-03-BLDG-01-AST-005,SITE-03-BLDG-01-AST-007,Monitors,0.59
SITE-03-BLDG-01-AST-003,SITE-03-BLDG-01-AST-000,Monitors,0.21
