asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
SITE-01-BLDG-01-AST-000,SITE-01,SITE-01-BLDG-01,Chiller-SITE-01-BLDG-01-000,Chiller,Honeywell,2015-04-13,677.93,
SITE-01-BLDG-01-AST-001,SITE-01,SITE-01-BLDG-01,Pump-SITE-01-BLDG-01-001,Pump,Trane,2017-09-30,33.0,
SITE-01-BLDG-01-AST-002,SITE-01,SITE-01-BLDG-01,AHU-SITE-01-BLDG-01-002,AHU,Honeywell,2016-02-24,10005.63,SITE-01-BLDG-01-AST-000
SITE-01-BLDG-01-AST-003,SITE-01,SITE-01-BLDG-01,EnvSensor-SITE-01-BLDG-01-003,EnvSensor,Siemens,2015-12-23,,SITE-01-BLDG-01-AST-005
SITE-01-BLDG-01-AST-004,SITE-01,SITE-01-BLDG-01,EnergyMeter-SITE-01-BLDG-01-004,EnergyMeter,Carrier,2015-05-11,,SITE-01-BLDG-01-AST-005
SITE-01-BLDG-01-AST-005,SITE-01,SITE-01-BLDG-01,Chiller-SITE-01-BLDG-01-005,Chiller,Trane,2017-06-14,570.49,
SITE-01-BLDG-01-AST-006,SITE-01,SITE-01-BLDG-01,EnvSensor-SITE-01-BLDG-01-006,EnvSensor,Carrier,2021-10-01,,SITE-01-BLDG-01-AST-013
SITE-01-BLDG-01-AST-007,SITE-01,SITE-01-BLDG-01,EnvSensor-SITE-01-BLDG-01-007,EnvSensor,Honeywell,2017-03-25,,SITE-01-BLDG-01-AST-005
SITE-01-BLDG-01-AST-008,SITE-01,SITE-01-BLDG-01,EnvSensor-SITE-01-BLDG-01-008,EnvSensor,Trane,2019-09-15,,SITE-01-BLDG-01-AST-000
SITE-01-BLDG-01-AST-009,SITE-01,SITE-01-BLDG-01,EnergyMeter-SITE-01-BLDG-01-009,EnergyMeter,Johnson Controls,2021-08-10,,SITE-01-BLDG-01-AST-010
SITE-01-BLDG-01-AST-010,SITE-01,SITE-01-BLDG-01,Chiller-SITE-01-BLDG-01-010,Chiller,Honeywell,2016-10-15,608.18,
SITE-01-BLDG-01-AST-011,SITE-01,SITE-01-BLDG-01,EnergyMeter-SITE-01-BLDG-01-011,EnergyMeter,Johnson Controls,2018-10-25,,SITE-01-BLDG-01-AST-013
SITE-01-BLDG-01-AST-012,SITE-01,SITE-01-BLDG-01,AHU-SITE-01-BLDG-01-012,AHU,Johnson Controls,2017-05-31,8463.41,SITE-01-BLDG-01-AST-000
SITE-01-BLDG-01-AST-013,SITE-01,SITE-01-BLDG-01,Chiller-SITE-01-BLDG-01-013,Chiller,Daikin,2016-01-15,609.96,
SITE-01-BLDG-02-AST-000,SITE-01,SITE-01-BLDG-02,EnergyMeter-SITE-01-BLDG-02-000,EnergyMeter,Siemens,2015-11-19,,SITE-01-BLDG-02-AST-008
SITE-01-BLDG-02-AST-001,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-001,Pump,Siemens,2022-01-18,91.07,
SITE-01-BLDG-02-AST-002,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-002,Pump,Trane,2021-06-22,120.77,
SITE-01-BLDG-02-AST-003,SITE-01,SITE-01-BLDG-02,Chiller-SITE-01-BLDG-02-003,Chiller,Honeywell,2015-07-07,763.7,
SITE-01-BLDG-02-AST-004,SITE-01,SITE-01-BLDG-02,AHU-SITE-01-BLDG-02-004,AHU,Carrier,2018-03-31,6327.39,SITE-01-BLDG-02-AST-001
SITE-01-BLDG-02-AST-005,SITE-01,SITE-01-BLDG-02,AHU-SITE-01-BLDG-02-005,AHU,Daikin,2016-02-18,9879.95,SITE-01-BLDG-02-AST-007
SITE-01-BLDG-02-AST-006,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-006,Pump,Honeywell,2020-02-01,66.38,
SITE-01-BLDG-02-AST-007,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-007,Pump,Johnson Controls,2016-10-28,38.32,
SITE-01-BLDG-02-AST-008,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-008,Pump,Honeywell,2017-05-08,148.3,
SITE-01-BLDG-02-AST-009,SITE-01,SITE-01-BLDG-02,Pump-SITE-01-BLDG-02-009,Pump,Honeywell,2022-11-14,20.72,
SITE-02-BLDG-01-AST-000,SITE-02,SITE-02-BLDG-01,AHU-SITE-02-BLDG-01-000,AHU,Honeywell,2020-12-27,15670.13,SITE-02-BLDG-01-AST-004
SITE-02-BLDG-01-AST-001,SITE-02,SITE-02-BLDG-01,AHU-SITE-02-BLDG-01-001,AHU,Daikin,2016-10-31,18894.51,SITE-02-BLDG-01-AST-004
SITE-02-BLDG-01-AST-002,SITE-02,SITE-02-BLDG-01,EnergyMeter-SITE-02-BLDG-01-002,EnergyMeter,Honeywell,2018-01-10,,SITE-02-BLDG-01-AST-006
SITE-02-BLDG-01-AST-003,SITE-02,SITE-02-BLDG-01,EnvSensor-SITE-02-BLDG-01-003,EnvSensor,Honeywell,2017-06-18,,SITE-02-BLDG-01-AST-006
SITE-02-BLDG-01-AST-004,SITE-02,SITE-02-BLDG-01,Pump-SITE-02-BLDG-01-004,Pump,Trane,2015-08-18,55.71,
SITE-02-BLDG-01-AST-005,SITE-02,SITE-02-BLDG-01,Chiller-SITE-02-BLDG-01-005,Chiller,Daikin,2018-07-16,536.75,
SITE-02-BLDG-01-AST-006,SITE-02,SITE-02-BLDG-01,Pump-SITE-02-BLDG-01-006,Pump,Trane,2015-09-29,50.68,
